IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
18.185.254.189,80,false,FRA,Europe,Frankfurt,170 ms,10704 kB/s
3.68.31.54,80,false,FRA,Europe,Frankfurt,164 ms,10665 kB/s
18.156.209.101,80,false,FRA,Europe,Frankfurt,175 ms,10640 kB/s
51.17.192.69,443,false,MXP,Europe,Milan,243 ms,6611 kB/s
18.159.105.97,80,false,FRA,Europe,Frankfurt,166 ms,6472 kB/s
51.17.192.69,80,false,MRS,Europe,Marseille,217 ms,5667 kB/s
3.141.95.66,80,false,CMH,North America,Columbus,237 ms,2184 kB/s
3.66.115.225,80,false,FRA,Europe,Frankfurt,158 ms,1221 kB/s
3.6.136.68,80,false,BOM,Asia Pacific,Mumbai,302 ms,984 kB/s
54.150.195.218,80,false,NRT,Asia Pacific,Tokyo,79 ms,163 kB/s
18.178.250.71,80,false,NRT,Asia Pacific,Tokyo,78 ms,156 kB/s
35.167.93.200,443,false,SEA,North America,Seattle,221 ms,0 kB/s
204.110.223.86,80,false,CMH,North America,Columbus,229 ms,0 kB/s
3.101.110.90,80,false,SJC,North America,San Jose,172 ms,0 kB/s
204.110.223.6,80,false,CMH,North America,Columbus,237 ms,0 kB/s
204.110.223.229,80,false,CMH,North America,Columbus,232 ms,0 kB/s
3.111.137.178,80,false,BOM,Asia Pacific,Mumbai,298 ms,0 kB/s
204.110.223.229,443,false,CMH,North America,Columbus,237 ms,0 kB/s
204.110.223.199,80,false,CMH,North America,Columbus,230 ms,0 kB/s
13.209.166.73,80,false,ICN,Asia Pacific,Seoul,229 ms,0 kB/s
204.110.221.28,80,false,YUL,North America,Montréal,256 ms,0 kB/s
204.110.220.59,80,false,SJC,North America,San Jose,179 ms,0 kB/s
204.110.220.230,80,false,SJC,North America,San Jose,171 ms,0 kB/s
