IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.180.50.196,443,443,true,FRA,Europe,Frankfurt,260,9.03
129.146.133.33,443,443,true,LAX,North America,Los Angeles,291,9.02
141.147.111.127,443,443,true,FRA,Europe,Frankfurt,231,9.02
144.21.40.206,443,443,true,FRA,Europe,Frankfurt,264,9.02
129.146.251.53,443,443,true,LAX,North America,Los Angeles,381,9.00
141.147.20.108,443,443,true,FRA,Europe,Frankfurt,279,9.00
143.47.241.63,443,443,true,FRA,Europe,Frankfurt,275,9.00
144.21.49.249,443,443,true,FRA,Europe,Frankfurt,302,8.99
141.148.227.182,443,443,true,FRA,Europe,Frankfurt,355,8.96
139.185.34.131,443,443,true,DXB,Middle East,Dubai,433,8.95
143.47.237.40,443,443,true,FRA,Europe,Frankfurt,231,8.90
144.21.63.199,443,443,true,FRA,Europe,Frankfurt,229,8.90
132.226.214.154,443,443,true,FRA,Europe,Frankfurt,253,8.90
89.168.122.18,443,443,true,CDG,Europe,Paris,199,8.89
79.72.93.148,443,443,true,FRA,Europe,Frankfurt,236,8.85
158.178.154.87,443,443,true,FRA,Europe,Frankfurt,304,8.83
158.178.153.125,443,443,true,FRA,Europe,Frankfurt,297,8.81
130.162.226.60,443,443,true,FRA,Europe,Frankfurt,361,8.80
84.8.156.56,443,443,true,FRA,Europe,Frankfurt,206,8.76
141.147.81.52,443,443,true,FRA,Europe,Frankfurt,233,8.75
193.122.13.196,443,443,true,FRA,Europe,Frankfurt,280,8.73
79.76.109.148,443,443,true,FRA,Europe,Frankfurt,347,8.70
150.230.114.65,443,443,true,FRA,Europe,Frankfurt,284,8.67
141.147.9.68,443,443,true,FRA,Europe,Frankfurt,271,8.66
143.47.226.83,443,443,true,FRA,Europe,Frankfurt,271,8.59
141.147.45.46,443,443,true,FRA,Europe,Frankfurt,322,8.59
79.72.68.176,443,443,true,FRA,Europe,Frankfurt,336,8.57
143.47.226.118,443,443,true,FRA,Europe,Frankfurt,294,8.56
152.70.177.73,443,443,true,FRA,Europe,Frankfurt,289,8.52
84.8.156.100,443,443,true,FRA,Europe,Frankfurt,269,8.49
79.72.92.120,443,443,true,FRA,Europe,Frankfurt,326,8.47
130.162.187.29,443,443,true,FRA,Europe,Frankfurt,268,8.46
141.147.74.141,443,443,true,FRA,Europe,Frankfurt,376,8.44
143.47.181.107,443,443,true,FRA,Europe,Frankfurt,380,8.41
138.3.246.30,443,443,true,FRA,Europe,Frankfurt,576,8.40
89.168.101.92,443,443,true,FRA,Europe,Frankfurt,212,8.40
141.147.46.147,443,443,true,FRA,Europe,Frankfurt,281,8.38
130.162.160.210,443,443,true,FRA,Europe,Frankfurt,255,8.35
141.147.61.116,2053,443,true,FRA,Europe,Frankfurt,270,8.33
143.47.189.126,443,443,true,FRA,Europe,Frankfurt,384,8.30
141.147.27.149,443,443,true,CDG,Europe,Paris,260,8.25
79.72.70.51,443,443,true,FRA,Europe,Frankfurt,311,8.22
130.162.43.212,443,443,true,FRA,Europe,Frankfurt,254,8.21
130.162.168.124,443,443,true,FRA,Europe,Frankfurt,210,8.20
158.180.19.218,443,443,true,FRA,Europe,Frankfurt,288,8.15
141.144.206.54,443,443,true,FRA,Europe,Frankfurt,278,8.12
143.47.254.63,443,443,true,FRA,Europe,Frankfurt,298,8.11
138.3.254.39,443,443,true,FRA,Europe,Frankfurt,526,8.06
141.144.193.5,443,443,true,FRA,Europe,Frankfurt,374,8.05
152.67.138.85,443,443,true,FRA,Europe,Frankfurt,327,8.05
132.226.210.2,443,443,true,FRA,Europe,Frankfurt,236,7.98
141.147.119.83,443,443,true,FRA,Europe,Frankfurt,351,7.89
141.144.193.209,443,443,true,FRA,Europe,Frankfurt,287,7.83
138.2.181.52,443,443,true,FRA,Europe,Frankfurt,288,7.82
143.47.232.63,443,443,true,FRA,Europe,Frankfurt,370,7.73
141.147.86.62,443,443,true,FRA,Europe,Frankfurt,277,7.73
141.148.225.203,443,443,true,FRA,Europe,Frankfurt,322,7.73
130.162.168.1,443,443,true,FRA,Europe,Frankfurt,234,7.72
158.180.15.202,443,443,true,FRA,Europe,Frankfurt,250,7.68
152.67.137.49,443,443,true,FRA,Europe,Frankfurt,345,7.65
130.162.213.83,443,443,true,FRA,Europe,Frankfurt,289,7.63
130.162.221.37,443,443,true,FRA,Europe,Frankfurt,282,7.54
150.230.125.47,443,443,true,FRA,Europe,Frankfurt,291,7.51
158.178.146.83,443,443,true,CDG,Europe,Paris,419,7.47
158.101.201.5,443,443,true,FRA,Europe,Frankfurt,398,7.46
130.162.181.181,443,443,true,FRA,Europe,Frankfurt,201,7.43
40.233.70.7,8443,443,true,YYZ,North America,Toronto,371,7.32
152.70.178.161,443,443,true,FRA,Europe,Frankfurt,192,7.30
141.147.118.131,443,443,true,FRA,Europe,Frankfurt,322,7.29
141.145.205.115,8443,8443,true,CDG,Europe,Paris,192,7.27
141.148.240.41,443,443,true,FRA,Europe,Frankfurt,241,7.24
141.147.61.116,8443,443,true,FRA,Europe,Frankfurt,354,7.20
152.70.49.218,443,443,true,CDG,Europe,Paris,366,7.19
68.233.127.163,8443,443,true,YYZ,North America,Toronto,373,7.14
141.147.8.208,443,443,true,FRA,Europe,Frankfurt,279,7.13
79.72.81.82,443,443,true,FRA,Europe,Frankfurt,219,7.07
129.151.198.3,8443,443,true,ARN,Europe,Stockholm,334,6.97
79.72.76.169,443,443,true,FRA,Europe,Frankfurt,266,6.95
141.144.204.223,443,443,true,FRA,Europe,Frankfurt,386,6.94
143.47.246.198,443,443,true,FRA,Europe,Frankfurt,227,6.93
132.145.54.84,2053,443,true,LHR,Europe,London,231,6.84
79.72.87.86,443,443,true,CDG,Europe,Paris,269,6.80
141.148.246.56,443,443,true,CDG,Europe,Paris,224,6.78
89.168.117.10,443,443,true,AMS,Europe,Amsterdam,225,6.73
144.24.243.207,443,443,true,MXP,Europe,Milan,308,6.68
141.148.236.107,443,443,true,FRA,Europe,Frankfurt,341,6.63
140.84.179.114,443,443,true,DFW,North America,Dallas,382,6.61
143.47.238.96,443,443,true,FRA,Europe,Frankfurt,292,6.49
141.147.93.50,443,443,true,FRA,Europe,Frankfurt,287,6.47
143.47.251.241,443,443,true,FRA,Europe,Frankfurt,252,6.41
158.179.207.182,2053,443,true,ARN,Europe,Stockholm,275,6.20
138.2.85.23,8080,443,true,SIN,Asia Pacific,Singapore,260,6.12
164.152.26.70,2086,443,true,ORD,North America,Chicago,228,6.10
130.61.182.205,443,443,true,FRA,Europe,Frankfurt,261,6.09
204.216.105.106,8443,8443,true,YUL,North America,Montréal,250,6.03
141.144.200.76,443,443,true,FRA,Europe,Frankfurt,320,5.94
